ObjectId	Longitude	Latitude	Name	Address_1	Address_2	City	State	Zip	9	10	11	County	Type		
	-81.597444	30.230468	STONEWOOD APARTMENTS	8300 OLD KINGS RD S		JACKSONVILLE	FL	32217				Duval	APARTMENT		
	-81.567981	30.287331	SOUTHERN GROVE CONDOS	8601 BEACH BLVD		JACKSONVILLE	FL	32216				Duval	APARTMENT		
	-81.552256	30.207257	LAKESIDE APTS	8700 SOUTHSIDE BLVD		JACKSONVILLE	FL	32256				Duval	APARTMENT		
	-81.561711	30.275553	SOUTHWIND VILLAS	8711 NEWTON RD		JACKSONVILLE	FL	32216				Duval	APARTMENT		
	-81.592795	30.219289	SHADOW BAY APARTMENTS	8833 OLD KINGS RD S		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.592588	30.21892	DEER MEADOWS APTS	8859 S OLD KINGS RD		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.639449	30.333437	FRANKLIN ARMS APTS	888 FRANKLIN ST		JACKSONVILLE	FL	32206				Duval	APARTMENT		
	-81.572467	30.3138	LIGHTHOUSE BAY APTS	8900 ATLANTIC BLVD		JACKSONVILLE	FL	32211				Duval	APARTMENT		
	-81.401121	30.270882	AVANTE VILLAS	9 OAKWOOD RD		JACKSONVILLE BEACH	FL	32250				Duval	APARTMENT		
	-81.661207	30.408192	WATERS EDGE APARTMENTS	900 BROWARD RD		JACKSONVILLE	FL	32218				Duval	APARTMENT		
	-81.413784	30.332693	SEA OATS APARTMENTS	900 PLAZA DR		ATLANTIC BEACH	FL	32233				Duval	APARTMENT		
	-81.720623	30.404453	MORRIS MANOR APTS	9050 NORFOLK BLVD		JACKSONVILLE	FL	32208				Duval	APARTMENT		
	-81.809569	30.247749	WOODLAND ESTATES MHP	9359 103RD ST		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.544219	30.326264	REGENCY PLACE APARTMENTS	9855 REGENCY SQUARE BLVD		JACKSONVILLE	FL	32225				Duval	APARTMENT		
	-81.544959	30.338045	COLONNADE AT REGENCY	989 MONUMENT RD		JACKSONVILLE	FL	32225				Duval	APARTMENT		
	-81.61225	30.19569	AUGUSTINE LANDING	10141 OLD ST AUGUSTINE RD		JACKSONVILLE	FL	32257				Duval	ASSISTED LIVING		
	-81.606922	30.182001	SOUTHLAKE NURSING HOME	10680 SAINT AUGUSTINE RD		JACKSONVILLE	FL	32257				Duval	ASSISTED LIVING		
